Property Name,Portfolio Manager ID,Street Address,Street Address 2,City/Municipality,State/Province,Other State/Province,Postal Code,Country,Year Built,Self-Selected Primary Function,Construction Status,Gross Floor Area,GFA Units,Occupancy (%),Number of Buildings,How Many Buildings?,Parent Property Name (if Applicable),Parent Property ID,Is this Property Owned or Operated by the US or Canadian Federal Government?,Federal Agency/Department
AL0004ZZ - ANNISTON FED BLDG & CTHSE,2629914,1129 NOBLE STREET,,ANNISTON,Alabama,,362014665,United States,1906,Courthouse,Existing,19397,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0007ZZ - MOBILE US COURTHOUSE,2629915,157 N CONCEPTION STREET,,MOBILE,Alabama,,366020000,United States,2010,Courthouse,Existing,346691,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0010ZZ - TUSCALOOSA FB-CT,2999293,2005 UNIVERSITY BLVD,,TUSCALOOSA,Alabama,,35401,United States,2012,Office,Existing,123259,Sq. Ft.,95,One,1,,,Yes,General Services Administration (GSA)
AL0011ZZ - VANCE FED BLDG & COURTHSE,2629916,1800 5TH AVENUE N,,BIRMINGHAM,Alabama,,352032111,United States,1921,Courthouse,Existing,173996,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0019ZZ - DOTHAN FED BLDG & CRTHSE,2629917,100 W TROY STREET,,DOTHAN,Alabama,,363014574,United States,1911,Courthouse,Existing,21224,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0028ZZ - GADSEN FED BLDG & CTHSE,2629918,600 BROAD STREET,,GADSDEN,Alabama,,359013753,United States,1910,Courthouse,Existing,34920,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0034ZZ - HUNTSVILLE PO & COURTHSE,2629919,101 HOLMES AVENUE NE,,HUNTSVILLE,Alabama,,358014869,United States,1936,Courthouse,Existing,40929,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,701 AVENUE A,,OPELIKA,Alabama,,36801,United States,1918,Office,Existing,23383,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0055ZZ - SELMA FED BLDG & COURTHSE,2629920,908 ALABAMA AVENUE,,SELMA,Alabama,,367014697,United States,1909,Courthouse,Existing,26140,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AL0079ZZ - SSA BUILDING,2629922,301 E 13TH STREET,,ANNISTON,Alabama,,352014604,United States,1967,Office,Existing,10965,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0000RK - LITTLE ROCK FB CT,830,600 W CAPITOL,,LITTLE ROCK,Arkansas,,72201,United States,1932,Office,Existing,881403,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0021ZZ - IC PARKER CTHSE PO,1976058,30 S SIXTH STREET,,FORT SMITH,Arkansas,,72901,United States,1937,Office,Existing,97092,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0031ZZ - OLD POST OFFICE CTHS,1772097,300 WEST 2ND STREET,,LITTLE ROCK,Arkansas,,72201,United States,1881,Office,Existing,88021,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0057ZZ - TEXARKANA USPO CTHS,2394954,500 N STATE LINE AVENUE,,TEXARKANA,Arkansas,,75501,United States,1933,Office,Existing,100674,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,104 RESERVE ST,,HOT SPRINGS,Arkansas,,719014141,United States,1961,Office,Existing,69987,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0066ZZ - HELENA USPS CTHS,1978154,617 WALNUT STREET,,HELENA,Arkansas,,72342,United States,1959,Office,Existing,40155,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0078ZZ - G HOWARD FB USPO CTH,1775888,100 E 8TH STREET,,PINE BLUFF,Arkansas,,71601,United States,1966,Office,Existing,107960,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0079ZZ - BATESVILLE FB PO CT,1977394,409 E COLLEGE STREET,,BATESVILLE,Arkansas,,72501,United States,1974,Mailing Center/Post Office,Existing,52558,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AR0084ZZ - HAMMERSCHMIDT FB CT,1930409,35 E MOUNTAIN STREET,,FAYETTEVILLE,Arkansas,,72701,United States,1974,Office,Existing,64186,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000AA - USBS LUKEVILLE,1299757,INTERNATIONAL BOUNDARY LINE,,LUKEVILLE,Arizona,,85341,United States,1976,Office,Existing,24275,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000BB - USBS DECONCINI- E NOGALES,1299747,INTERNATIONAL & GRAND,,NOGALES,Arizona,,85621,United States,1936,Office,Existing,100225,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000CC - USBS SASABE,1303974,INTERNATL BOUNDARY LINE,,SASABE,Arizona,,85633,United States,1937,Office,Existing,15502,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000DD - USBS DOUGLAS,1303915,PAN AMERICAN AVENUE,,DOUGLAS,Arizona,,85607,United States,1933,Office,Existing,66357,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000FF - BDR PATL SECTOR HQRS,1299729,WEST AJO ROAD,,TUCSON,Arizona,,85713,United States,1965,Office,Existing,13511,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000GG - USBS SAN LUIS 1,1303969,INTERNATL BOUNDARY LINE,,SAN LUIS,Arizona,,85349,United States,1984,Office,Existing,51029,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000HH - USBS NACO,1299718,FMCSA VEHICLE INSPECTION FACILITY,,NACO,Arizona,,85620,United States,1937,Office,Existing,22701,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000JJ - SAN LUIS 2 LPOE,2629923,1375 SOUTH AVENUE E,,SAN LUIS,Arizona,,85349,United States,2008,Office,Existing,93956,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0000WW-USBS MARIPOSA NOGALES,1303927,200 N MARIPOSA ROAD,,NOGALES,Arizona,,85621,United States,1985,Office,Existing,104804,Sq. Ft.,100,One,1,,,Yes,Other
AZ0015ZZ - JA WALSH COURTHOUSE,1279942,38 S SCOTT AVENUE,,TUCSON,Arizona,,85701,United States,1930,Courthouse,Existing,77539,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0051ZZ - PARKING LOT,2999298,314 N SECOND AVE,,PHOENIX,Arizona,,85003,United States,1962,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0052ZZ - PHOENIX FED BLDG US CTHSE,1279941,230 N FIRST AVENUE,,PHOENIX,Arizona,,85025,United States,1962,Courthouse,Existing,304848,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0058ZZ - TUCSON FEDERAL BUILDING,1283262,300 WEST CONGRESS STREET,,TUCSON,Arizona,,85701,United States,1974,Office,Existing,172676,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0303ZZ - S D OCONNOR COURTHOUSE,1283331,401 W WASHINGTON STREET,,PHOENIX,Arizona,,85003,United States,2000,Courthouse,Existing,564113,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0307ZZ - EA DECONCINI COURTHOUSE,1279859,405 W CONGRESS STREET,,TUSCON,Arizona,,85701,United States,2000,Courthouse,Existing,439713,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
AZ0369ZZ-ROLL US COURTHOUSE,3981441,98 W 1ST STREET,,YUMA,Arizona,,85364,United States,2013,Office,Existing,62299,Sq. Ft.,100,One,1,,,Yes,Other
BC Place,3996745,777 Pacific Boulevard,,Vancouver,British Columbia,,V6B 4Y8,Canada,1983,Stadium (Closed),Existing,1415314,Sq. Ft.,70,One,1,,,No,
CA0000AA-APPRAISERS BLDG & CUSTOM,1283266,630 SANSOME STREET,,SAN FRANCISCO,California,,94111,United States,1993,Office,Existing,673367,Sq. Ft.,100,One,1,,,Yes,Other
CA0000BB - USBS CALEXICO WEST,1299754,US BORDER STATION,,CALEXICO,California,,92231,United States,1974,Office,Existing,138180,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000CC - ROYBAL + N L A FED BLDGS,1279897,300 N LOS ANGELES STREET,,LOS ANGELES,California,,90053,United States,1965,Office,Existing,2469628,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000DD - JAMES BROWNING US CT,1283474,95 SEVENTH ST,,SAN FRANCISCO,California,,94103,United States,1905,Courthouse,Existing,470322,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000GG - USBS SAN YSIDRO,1278821,801 E SAN YSIDRO BLVD,,SAN DIEGO,California,,92115,United States,1932,Office,Existing,223847,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000HH - USBS ANDRADE,1303908,PORT OF ENTRY,,WINTERHAVEN,California,,92283,United States,1958,Office,Existing,9397,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000JJ - USBS OTAY MESA COMMERCIAL,1299380,2500 PASEO INTL - OTAY,,SAN DIEGO,California,,92173,United States,1985,Office,Existing,326899,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000KK - ALAMEDA FED CNTR BLDG 1,1278853,620 CENTRAL AVENUE,,ALAMEDA,California,,94501,United States,1942,Office,Existing,79662,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000LL - USBS TECATE,1283446,US BORDER STATION,,TECATE,California,,92154,United States,1932,Office,Existing,40983,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000MM-SACRAMENTO FEDERAL CAMPUS,1283342,2800 COTTAGE WAY,,SACRAMENTO,California,,95825,United States,2003,Office,Existing,334319,Sq. Ft.,100,One,1,,,Yes,Other
CA0000OO - MENLO PARK FED CENTER,1303972,345 MIDDLEFIELD ROAD,,MENLO PARK,California,,94025,United States,1953,Office,Existing,400224,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000RR - PASADENA FED CRT HSE,1283462,125 South Grand Avenue, ,Pasadena,California,,91105,United States,1931,Courthouse,Existing,168857,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000SS - C HOLIFIELD FED BLDG,1283255,24000 AVILA ROAD,,LAGUNA NIGUEL,California,,926773405,United States,1971,Office,Existing,1067060,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0000WW - USBS CALEXICO EAST,1299389,1699 E CARR RD,,CALEXICO,California,,92231,United States,1996,Office,Existing,208141,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0041ZZ - LOS ANGELES US COURTHOUSE,1279893,312 NORTH SPRING STREET,,LOS ANGELES,California,,90012,United States,1937,Courthouse,Existing,885295,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0083ZZ-HISTORIC SACRAMENTO FB,1279948,801 I STREET,,SACRAMENTO,California,,95818,United States,1973,Office,Existing,189904,Sq. Ft.,100,One,1,,,Yes,Other
CA0088ZZ - J.WEINBERGER COURTHOUSE,1283247,325 WEST F STREET,,SAN DIEGO,California,,92101,United States,1913,Courthouse,Existing,73179,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0093ZZ - FEDERAL OFFICE BLDG,600,50 United Nations Plaza,,San Francisco,California,,94102,United States,1935,Office,Existing,535214,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0149ZZ - LOS ANGELES FED BLDG,1283248,1340 WEST SIXTH STREET,,LOS ANGELES,California,,90014,United States,1955,Office,Existing,71535,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0152ZZ - JE MOSS FED BLDG CRTHSE,1283259,650 CAPITOL MALL,,SACRAMENTO,California,,95814,United States,1961,Office,Existing,361129,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0154ZZ - P BURTON FED BLDG CTHSE,1279464,450 GOLDEN GATE AVENUE,,SAN FRANCISCO,California,,94102,United States,1964,Office,Existing,1427968,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0167ZZ - EJ SCHWART FED BLG CRTHSE,2629925,880 FRONT STREET,,SAN DIEGO,California,,921018897,United States,1976,Courthouse,Existing,895249,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0168ZZ - WEST LOS ANGELES FED BLDG,1278834,11000 WILSHIRE BLVD,,LOS ANGELES,California,,90024,United States,1969,Office,Existing,587586,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0185ZZ-SSA BLDG-MENTOR STREET,1279333,104 N MENTOR AVENUE,,PASADENA,California,,91104,United States,1985,Office,Existing,13200,Sq. Ft.,100,One,1,,,Yes,Other
CA0186ZZ - SOCIAL SECURITY BLDG,2629926,505 COURT STREET,,VISALIA,California,,93277,United States,1977,Office,Existing,11977,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0194ZZ-SSA BLDG-RUGBY AVE,1279949,6303 RUGBY AVENUE,,HUNTINGTON PARK,California,,90255,United States,1985,Office,Existing,23538,Sq. Ft.,100,One,1,,,Yes,Other
CA0198ZZ-JC CORMAN FEDERAL BLDG,1283349,6230 VAN NUYS BLVD,,VAN NUYS,California,,91401,United States,1985,Office,Existing,230893,Sq. Ft.,100,One,1,,,Yes,Other
CA0200ZZ - SANTA ANA FED BLDG,1283468,34 CIVIC CENTER PLAZA,,SANTA ANA,California,,92701,United States,1975,Office,Existing,280365,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0221ZZ - JOHN F SHEA FED BLDG,1279481,777 SONOMA AVENUE,,SANTA ROSA,California,,95404,United States,1975,Courthouse,Existing,77839,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0224ZZ - HAWTHORNE FED BLDG,1278861,15000 AVIATION BLVD.,,HAWTHORNE,California,,90250,United States,1971,Office,Existing,216104,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0235ZZ - LJ RYAN FED RECORDS CNTR,1283371,1000 COMMODORE DR,,SAN BRUNO,California,,94066,United States,1972,Non-Refrigerated Warehouse,Existing,233987,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CA0260ZZ - RF PECKHAM FED BLDG CTHSE,1283238,280 SOUTH 1ST STREET,,SAN JOSE,California,,95113,United States,1982,Courthouse,Existing,269340,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0272ZZ - PARKING GARAGE,2629927,1260 SO SEPULVEDA BLVD,,LOS ANGELES,California,,900253456,United States,1982,Office,Existing,192192,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0273ZZ - GLENN M ANDERSON FB,1283287,501 W OCEAN BLVD,,LONG BEACH,California,,90802,United States,1989,Office,Existing,306260,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0281ZZ - RV DELLUMS FED BLDG,1279478,1301 CLAY STREET,,OAKLAND,California,,94612,United States,1993,Office,Existing,1101444,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0295ZZ - RONALD REAGAN FED BLDG,1177145,411 WEST 4TH STREET,,SANTA ANNA,California,,927014500,United States,1999,Courthouse,Existing,672747,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0305ZZ - NEW SAN FRANCISCO FB,2629928,90 7TH STREET,,SAN FRANCISCO,California,,941031516,United States,2007,Office,Existing,652433,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0306ZZ - RT MATSUI COURTHOUSE,1279839,501 I STREET,,SACRAMENTO,California,,95814,United States,1999,Office,Existing,773986,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0309ZZ - RE COYLE FED BLDG CTHSE,1283275,2500 TULARE ST,,FRESNO,California,,93721,United States,2005,Courthouse,Existing,495913,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0315ZZ - SEIZED VEHICLE FACILITY,1567868,2450 AVENIDA DE,,SAN DIEGO,California,,92101,United States,1984,Non-Refrigerated Warehouse,Existing,60250,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CA0316ZZ - SAN DIEGO FED COURTHSE,3478838,333 W BROADWAY,,SAN DIEGO,California,,92101,United States,2012,Office,Existing,480941,Sq. Ft.,100,One,1,,,No,
CA0363ZZ - BAKERSFIELD US COURTHOUSE,3264359,510 19TH STREET,,BAKERSFIELD,California,,93303,United States,1900,Courthouse,Existing,35468,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CA6764ZZ - PARKWAY CENTRE,2998918,1431 HARBOR BAY PKWY,,ALAMEDA,California,,94501,United States,1985,Office,Existing,63595,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CA9551RR - PASADENA FED CRT HSE,2999299,125 SOUTH GRAND AVE,,PASADENA,California,,91105,United States,1931,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0000AA - DENVER FEDERAL CENTER,2280735,W 6TH AVE && KIPLING STREET,,LAKEWOOD,Colorado,,80225,United States,1941,Office,Existing,4368913,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0000XX - DFC NON GOAL TRACKED,2999300,W 6TH AVE & KIPPLING STREET,,DENVER,Colorado,,80225,United States,1900,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0006ZZ - NEW CUSTOMS HOUSE,2280737,721 19TH STREET,,DENVER,Colorado,,80202,United States,1931,Office,Existing,278252,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0009ZZ - BYRON WHITE US COURTHOUSE,2280739,1823 STOUT STREET,,DENVER,Colorado,,80202,United States,1916,Courthouse,Existing,269946,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0018ZZ - WAYNE ASPINALL FED BLDG,2629929,400 ROOD AVE,,GRAND JUNCTION,Colorado,,81501,United States,1918,Office,Existing,41564,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0039ZZ - BYRON ROGERS FED BLDG CTH,2280741,1961 STOUT ST,,DENVER,Colorado,,80294,United States,1965,Office,Existing,790943,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0046ZZ - FORT COLLINS FED BLDG PO,2487774,301 S HOWES STREET,,FORT COLLINS,Colorado,,80521,United States,1972,Office,Existing,83110,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0050ZZ - CALIFORNIA FED GARAGE BDG,2280901,2106 CALIFORNIA STREET,,DENVER,Colorado,,80205,United States,1937,Non-Refrigerated Warehouse,Existing,19487,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CO0051ZZ - WELTON ST FED GARAGE BLDG,2280800,2101 WELTON STREET,,DENVER,Colorado,,80205,United States,1947,Non-Refrigerated Warehouse,Existing,12492,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0053ZZ - GSA PARKING LOT,2629930,22D  STOUT STS,,DENVER,Colorado,,802052064,United States,1960,Other,Existing,0,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0054ZZ - CESAR CHAVEZ FED BLDG,2280903,1244 SPEER BOULEVARD,,DENVER,Colorado,,80204,United States,1984,Office,Existing,313265,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0061ZZ - ALFRED ARRAJ COURTHOUSE,2629931,901 19TH STREET,,DENVER,Colorado,,802942500,United States,2002,Office,Existing,326686,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0501AA - Bldg 1,3205465,W 6th Ave && Kipling St.,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,5407,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0511AA - Bldg 20,3210202,W 6th Av and Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,418099,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0514AA - Bldg 25,3222498,W 6TH Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,402595,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0515AA - Bldg 40,3237239,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,50092,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0516AA - Bldg 41,3237241,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Non-Refrigerated Warehouse,Existing,496978,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CO0518AA - Bldg 44,3237243,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,9381,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0519AA - Bldg 45,3237245,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,78407,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0520AA - Bldg 46,3237247,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,21318,Sq. Ft.,25,One,1,,,Yes,General Services Administration (GSA)
CO0522AA - Bldg 48,3222511,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Non-Refrigerated Warehouse,Existing,150994,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0527AA - Bldg 50,3237249,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1977,Office,Existing,132830,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0529AA - Bldg 52,3237251,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,11427,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0530AA - Bldg 53,3237253,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,387363,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0531AA - Bldg 54,3237255,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Non-Refrigerated Warehouse,Existing,3541,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0532AA - Bldg 55,3237257,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,14050,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0533AA - Bldg 56,3237259,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1941,Office,Existing,354441,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0543AA - Bldg 75,3237261,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1944,Office,Existing,6840,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0576AA - Bldg 85,3237263,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1975,Office,Existing,87911,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0624AA - Bldg 810,3237265,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1965,Office,Existing,680670,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0625AA - Bldg 15,3209167,W 6th Av. && Kipling St.,,Lakewood,Colorado,,80225,United States,1966,Office,Existing,27749,Sq. Ft.,100,None,0,,,Yes,General Services Administration (GSA)
CO0626AA - Bldg 16,3210163,W 6th Av and Kipling St.,,Lakewood,Colorado,,80225,United States,1966,Office,Existing,38159,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0627AA - Bldg 67,3237267,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1967,Office,Existing,372086,Sq. Ft.,95,One,1,,,Yes,General Services Administration (GSA)
CO0631AA - Bldg 710,3237269,W 6th Ave && Kipling St,,Lakewood,Colorado,,80225,United States,1963,Office,Existing,35845,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
CO0644AA/CO0662AA - Day Care and Infant Toddler Center,3237271,W 6th Ave and Kipling St,,Lakewood,Colorado,,80225,United States,1973,Pre-school/Daycare,Existing,9803,Sq. Ft.,100,More Than One,2,,,Yes,General Services Administration (GSA)
CO0651AA - Bldg 1A,3206172,W 6th Ave && Kipling St.,,Lakewood,Colorado,,80225,United States,1986,Office,Existing,5220,Sq. Ft.,100,One,1,,,Yes,General Services Administration (GSA)
